codigo,tipo,lat,lon,dado1,dado2,Estatus,responsavel,data
SECAO,ondulação,-8.901,-61.252,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MONTE REAL,ondulação,-8.897,-60.404,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
GRACUA,ondulação,-8.907,-61.278,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOCA DA COBRA,ondulação,-8.916,-61.290,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO JOAO,ondulação,-8.919,-61.565,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
OURO PRETO,ondulação,-8.932,-60.421,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANTANA,ondulação,-8.941,-61.583,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO JOSE,ondulação,-8.941,-61.278,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO DOMINGOS,ondulação,-8.948,-61.616,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALIANCA,ondulação,-8.954,-61.623,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALTAMIRA,buraco,-8.966,-61.331,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
POMBAL,ondulação,-8.985,-60.731,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CUIU-CUIU,buraco,-8.993,-60.399,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CARAPUCA,ondulação,-8.997,-60.771,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PALOMETA,buraco,-9.006,-61.556,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MUNDO NOVO,ondulação,-9.007,-61.620,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BELA VISTA,ondulação,-9.040,-61.557,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOCA DO RIO PARDO,ondulação,-9.034,-60.334,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
DEFUMADOR,ondulação,-9.054,-61.575,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAMALEAO,ondulação,-9.071,-61.397,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO GABRIEL,ondulação,-9.112,-61.370,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO JOAO,ondulação,-9.111,-60.444,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SOLEDADE,ondulação,-9.120,-60.367,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CANTAGALO,ondulação,-9.147,-60.352,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MONTANHA-RUSSA,ondulação,-9.156,-60.725,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PROJETO ROOSEVELT,ondulação,-9.160,-60.730,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
VAI QUEM QUER,ondulação,-9.183,-60.303,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVO MUNDO,ondulação,-9.187,-60.735,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANTO ANTONIO,ondulação,-9.208,-61.394,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOCA DA ESPERANCA,ondulação,-9.208,-60.314,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO FRANCISCO,ondulação,-9.229,-61.341,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
FAG II,ondulação,-9.238,-61.295,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
INDIO,ondulação,-9.240,-61.408,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CARAUARI,buraco,-9.240,-60.289,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOLIVIA,buraco,-9.249,-61.395,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PORTO RICO,buraco,-9.254,-60.690,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BUENOS AIRES,ondulação,-9.265,-61.677,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
GANGORRA,ondulação,-9.261,-60.287,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CHUVISCO,ondulação,-9.281,-60.685,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALEGRIA,ondulação,-9.281,-60.270,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
TIRIRICA,ondulação,-9.301,-61.201,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOCA DO JUMA,ondulação,-9.319,-60.275,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MOQUEM,ondulação,-9.326,-61.376,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
JUMINHO,ondulação,-9.382,-60.269,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PALMEIRAS,ondulação,-9.402,-60.286,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SILVEIRA,ondulação,-9.414,-60.279,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO PEDRO,ondulação,-9.424,-61.718,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
POCAOZINHO,ondulação,-9.437,-60.283,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SURUBIM,ondulação,-9.449,-60.262,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BARREIRO,ondulação,-9.485,-60.580,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA OLINDA,ondulação,-9.505,-61.355,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PEDRA,ondulação,-9.511,-60.245,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
AGUA AZUL,buraco,-9.542,-60.233,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ARAPARI,ondulação,-9.549,-61.316,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
GAIVOTA,ondulação,-9.551,-60.587,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANTA RITA,buraco,-9.598,-60.661,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CACHOEIRA DO REDONDO,ondulação,-9.635,-60.669,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CACHOEIRA SECA,ondulação,-9.646,-60.159,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PRAIA GRANDE,ondulação,-9.660,-60.678,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO JOAO,ondulação,-9.691,-60.644,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANSAO,ondulação,-9.707,-60.717,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO FRANCISCO,ondulação,-9.722,-60.800,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PEDRAL BOM JESUS,ondulação,-9.770,-60.648,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PEDRAL SANTA LUZIA,ondulação,-9.777,-60.665,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
 ,ondulação,-9.251,-61.381,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
OURO PRETO,ondulação,-10.042,-61.441,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MEXICANO,ondulação,-10.665,-60.527,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PROJETO VIDA NOVA,ondulação,-10.800,-61.599,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PROJETO INTEGRADO DE COLONIZACAO DO INCRA,ondulação,-10.836,-61.624,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAPIVARA,ondulação,-10.968,-60.481,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAPECADO,buraco,-10.986,-60.477,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA CAPITAO MOA,ondulação,-11.132,-60.126,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAMPO DA DUVIDA,ondulação,-12.584,-60.151,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
AROEIRA,ondulação,-12.734,-60.007,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
GLEBA CABIXI,ondulação,-12.978,-60.176,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALASCA,ondulação,-13.283,-60.360,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
BARREIRO,ondulação,-13.491,-60.498,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
BARREIRO,ondulação,-13.491,-60.498,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
PORTO SABAO,ondulação,-13.800,-60.464,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BETANIA,ondulação,-14.048,-60.328,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
BETANIA,ondulação,-14.178,-60.371,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
NASCENTE DO RIO VERDE,ondulação,-14.629,-60.224,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CURSO,ondulação,-15.206,-60.380,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PANTANAL DO CORIXAO,ondulação,-15.253,-60.398,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CASALVASCO,ondulação,-15.330,-60.002,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOCAINA,ondulação,-15.426,-60.134,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
DESTACAMENTO CASALVASCO,ondulação,-15.497,-60.073,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
PANTANAL DA BAIA GRANDE,ondulação,-15.550,-60.160,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PANTANAL CINZAS,ondulação,-15.633,-60.155,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PANTANAL DO POCAO,buraco-15.740,-60.154,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAPAO DO ROMEIRO,ondulação,-15.777,-60.078,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
DESTACAMENTO SAO SIMAO,ondulação,-15.911,-60.151,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAMAUMA,ondulação,-7.204,-58.136,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BARRA DE SAO MANUEL,ondulação,-7.340,-58.155,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PRIMAVERA,ondulação,-7.343,-58.121,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CONCEICAO,ondulação,-7.408,-58.171,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CACHOEIRINHA,ondulação,-7.620,-58.211,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
TABULEIRO,ondulação,-7.641,-58.238,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ESPERANCA,ondulação,-7.801,-58.314,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
COBRAS,ondulação,-7.898,-57.842,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MORRO,ondulação,-7.946,-58.347,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ESPERANCA,ondulação,-7.960,-58.332,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MALOCA CAROCAL,ondulação,-7.488,-57.852,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
MALOCA DO MORRO CURAPI,ondulação,-7.460,-57.872,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
MALOCA DO CARECA,ondulação,-7.378,-57.955,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAMUEL,ondulação,-8.678,-59.467,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
TERRA PRETA,ondulação,-8.730,-59.403,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANTO ANTONIO II,ondulação,-8.802,-59.406,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MALA,ondulação,-8.874,-59.432,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOM FUTURO,ondulação,-8.080,-57.725,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PEREIRINHA,ondulação,-8.269,-57.651,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MORENGO,ondulação,-8.539,-57.631,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAPINZAL,ondulação,-8.716,-58.318,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANTA ROSA,ondulação,-8.866,-57.416,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
FLORESTA,ondulação,-8.876,-57.329,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
RABO DE GATO,ondulação,-8.884,-57.295,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
TRES MORRINHOS,ondulação,-9.006,-59.432,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOM JESUS,ondulação,-9.015,-59.400,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MARAN,ondulação,-9.048,-59.409,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOM FUTURO,ondulação,-9.121,-59.374,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO PEDRO,ondulação,-9.162,-59.372,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANTA MARIA,ondulação,-9.217,-59.359,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CANOEIROS,ondulação,-9.262,-58.641,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SERINGUEIRA,ondulação,-9.281,-59.391,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
GUARIBINHA,ondulação,-9.327,-59.372,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOA VISTA,ondulação,-9.348,-59.314,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
PIMENTA,ondulação,-9.400,-59.416,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
COLNIZA,ondulação,-9.460,-59.223,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA ESPERANCA,ondulação,-9.642,-58.936,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
POCAO,ondulação,-9.735,-59.417,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOCA DO RIO BRANCO,ondulação,-9.774,-59.390,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
IRACEMA,ondulação,-9.841,-59.350,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ILHA DO COQUEIRO,ondulação,-9.849,-59.331,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
JOSE DOS SANTOS,ondulação,-9.881,-59.296,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
COTRIGUACU,ondulação,-9.910,-58.563,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
COMUNIDADE JUARA,ondulação,-9.360,-57.390,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
APIACAS,ondulação,-9.562,-57.393,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
COLONIZACAO IRMAOS MADE,ondulação,-9.794,-58.194,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA BANDEIRANTES,buraco,-9.850,-57.815,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
COLONIZACAO COTRIGUACU,ondulação,-9.849,-58.247,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ARIEL,ondulação,-9.870,-58.235,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CACHORRO SENTADO,ondulação,-9.907,-58.207,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALTO PARAISO,ondulação,-9.941,-57.133,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA MONTE VERDE,ondulação,-9.975,-57.469,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALTA FLORESTA,ondulação,-9.868,-56.082,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
COMUNIDADE SAO PEDRO,ondulação,-9.894,-56.484,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
COMUNIDADE N. S. DE FATIMA,ondulação,-9.910,-56.506,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
CARLINDA,ondulação,-9.967,-55.823,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOA UNIAO,ondulação,-9.846,-55.126,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
GUARANTA DO NORTE,ondulação,-9.950,-54.914,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVO MUNDO,ondulação,-9.975,-55.181,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
ARIPUANA,ondulação,-10.174,-59.448,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
LONTRA,ondulação,-10.345,-59.563,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
MORENA,ondulação,-10.579,-59.385,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
JURUENA,ondulação,-10.329,-58.498,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOLSAO DO TELES PIRES,ondulação,-10.383,-55.674,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
FLOR DA SERRA,ondulação,-10.431,-56.019,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
COLORADO DO NORTE,ondulação,-10.444,-56.101,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA CANAA DO NORTE,ondulação,-10.635,-55.710,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOLSAO DO TELES PIRES,ondulação,-10.788,-55.671,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MATUPA,ondulação,-10.170,-54.931,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA MATUPA,ondulação,-10.253,-54.858,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA GUARITA,ondulação,-10.311,-55.409,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
MIRAGUAI DO NORTE,ondulação,-10.358,-55.043,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
NONAI DO NORTE,ondulação,-10.521,-55.229,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
COLIDINHA,ondulação,-10.785,-54.962,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
COLIDER,ondulação,-10.807,-55.461,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA SANTA HELENA,ondulação,-10.857,-55.185,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA VILA RICA,buraco,-10.879,-55.280,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
FILADELFIA,ondulação,-11.117,-59.118,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
CASTANHEIRA,ondulação,-11.138,-58.609,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA CINTA LARGA,ondulação,-11.193,-59.246,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
JUINA,ondulação,-11.424,-58.763,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
AGUAS CLARAS,ondulação,-11.068,-57.569,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
JUARA,ondulação,-11.253,-57.510,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
FONTANILLAS,ondulação,-11.338,-58.340,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVO HORIZONTE DO NORTE,ondulação,-11.390,-57.315,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
CATUAI,ondulação,-11.451,-57.613,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
VILA BELA VISTA,ondulação,-11.587,-57.066,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SERINGAL,ondulação,-11.599,-57.076,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVO PARANA,ondulação,-11.618,-57.233,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
AGUA DA PRATA,ondulação,-11.867,-58.248,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
ITAUBA,ondulação,-11.010,-55.250,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
MARCELANDIA,ondulação,-11.103,-54.501,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
CASTANHAL,ondulação,-11.176,-55.312,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
BAIRRO BARRO PRETO,ondulação,-11.220,-54.405,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
ANALANDIA DO NORTE,ondulação,-11.247,-54.208,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
CLAUDIA,ondulação,-11.505,-54.876,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
CABECEIRAS DO RIBEIRAO SELMO,ondulação,-11.695,-55.396,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA ESPIRRO,ondulação,-12.708,-59.907,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA AROEIRA,buraco,-12.724,-59.962,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAMPOS NOVOS,ondulação,-12.735,-59.821,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA JUREMA,ondulação,-12.840,-58.918,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA VINTE DE SETEMBRO,ondulação,-12.875,-59.181,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
BRASNORTE,ondulação,-12.119,-58.004,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
BRIANORTE,ondulação,-12.284,-57.338,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
TRIBO MUNKU,ondulação,-12.287,-58.488,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
PORTO FELIZ,ondulação,-12.647,-58.392,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAMPO DA BAIANA,ondulação,-12.053,-56.453,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SAO PEDRO,ondulação,-12.222,-56.169,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ANA TERRA,ondulação,-12.538,-56.649,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALEGRE,ondulação,-12.614,-56.889,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVO ELDORADO,ondulação,-12.759,-56.379,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
FELIZ NATAL,ondulação,-12.379,-54.941,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVO MATO GROSSO,ondulação,-12.893,-54.846,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
CARAVAGIO,ondulação,-12.975,-55.428,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA INDIGENA MAN-AZDE,ondulação,-13.050,-59.874,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
JATAI,ondulação,-13.390,-59.857,42,42Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA INDIGENA SERRA AZUL,ondulação,-13.658,-59.594,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA ALVORADA,ondulação,-13.657,-59.913,40,40Certo,Em aprovação,Gilmar Acacio,01/09/2025
COMODORO,ondulação,-13.659,-59.787,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAMPOS DE JULIO,ondulação,-13.721,-59.259,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA INDIGENA SARE,ondulação,-13.017,-58.185,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA MARINGA,ondulação,-13.031,-57.091,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA TOLOSA,ondulação,-13.193,-57.968,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
ALDEIA CAPANEMA,ondulação,-13.319,-57.843,61,61Certo,Em aprovação,Gilmar Acacio,01/09/2025
BACAVAL,ondulação,-13.639,-58.285,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAMPO NOVO DO PARECIS,ondulação,-13.660,-57.889,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
LUCAS DO RIO VERDE,ondulação,-13.067,-55.920,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA MUTUM,ondulação,-13.818,-56.086,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA UBIRATA,ondulação,-13.035,-55.251,41,41Certo,Em aprovação,Gilmar Acacio,01/09/2025
CAPEMVELHA,ondulação,-13.138,-55.209,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
